field_code,account_number,sign_condition,description
7215,1232,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1233,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1234,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1235,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1236,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1237,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1238,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1239,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1240,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1241,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1242,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1243,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1244,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1245,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1246,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1247,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1248,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1249,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1250,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1251,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1252,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1253,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1254,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1255,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1256,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1257,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1258,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1259,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1260,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1261,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1262,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1263,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1264,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1265,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1266,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1267,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1268,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1269,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1270,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1271,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1272,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1273,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1274,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1275,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1276,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1277,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1278,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1279,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7217,1280,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1281,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1282,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1283,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1284,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1285,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1286,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1287,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1288,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1289,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7215,1290,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1291,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1292,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1293,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1294,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1295,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1296,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1297,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1298,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1299,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7236,1310,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1311,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1312,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1313,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1314,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1315,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
7236,1316,NONE,Andelar i koncernföretag, intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i
